filename;from;to;description;applying
Align_Taskbar_Left;22000;;Align taskbar icons to the left;Aligning taskbar buttons to the left...
Disable_AI_Recall;22621;;Disable Windows Recall snapshots;Disabling Windows Recall snapshots...
Disable_Bing_Cortana_In_Search;;;Disable bing web search, bing AI & cortana in Windows search;Disabling bing web search, bing AI & cortana in Windows search...
Disable_Chat_Taskbar;;22621;Hide the chat (meet now) icon from the taskbar;Hiding the chat icon from the taskbar...
Disable_Copilot;22621;;Disable Windows Copilot;Disabling Windows Copilot...
Disable_DVR;;;Disable Xbox game/screen recording;Disabling Xbox game/screen recording...
Disable_Give_access_to_context_menu;;19045;Hide the 'Give access to' option in the context menu;Hiding 'Give access to' in the context menu...
Disable_Include_in_library_from_context_menu;;19045;Hide the 'Include in library' option in the context menu;Hiding 'Include in library' in the context menu...
Disable_Lockscreen_Tips;;;Disable tips & tricks on the lockscreen;Disabling tips & tricks on the lockscreen...
Disable_Share_from_context_menu;;19045;Hide the 'Share' option in the context menu;Hiding 'Share' in the context menu...
Disable_Show_More_Options_Context_Menu;22000;;Restore the old Windows 10 style context menu;Restoring the old Windows 10 style context menu...
Disable_Telemetry;;;Disable telemetry, diagnostic data, activity history, app-launch tracking & targeted ads;Disabling telemetry, diagnostic data, activity history, app-launch tracking and targeted ads...
Disable_Widgets_Taskbar;;;Disable the widget service & hide the widget (news and interests) icon from the taskbar;Disabling the widget service and hiding the widget icon from the taskbar...
Disable_Windows_Suggestions;;;Disable tips, tricks, suggestions and ads in start, settings, notifications and File Explorer;Disabling tips, tricks, suggestions and ads across Windows...
Hide_3D_Objects_Folder;;19045;Hide the 3D objects folder under 'This pc' in File Explorer;Hiding the 3D objects folder from the File Explorer navigation pane...
Hide_duplicate_removable_drives_from_navigation_pane_of_File_Explorer;;;Hide duplicate removable drive entries from the File Explorer sidepanel;Hiding duplicate removable drive entries from the File Explorer navigation pane...
Hide_Gallery_from_Explorer;22000;;Hide the Gallery section from the File Explorer sidepanel;Hiding the gallery section from the File Explorer navigation pane...
Hide_Home_from_Explorer;22000;;Hide the Home section from the File Explorer sidepanel, add an option to reenable in file explorer options;Hiding the home section from the File Explorer navigation pane...
Hide_Music_Folder;;19045;Hide the music folder under 'This pc' in File Explorer;Hiding the music folder from the File Explorer navigation pane...
Hide_Onedrive_Folder;;19045;Hide the OneDrive folder in the File Explorer sidepanel;Hiding the OneDrive folder from the File Explorer navigation pane...
Hide_Search_Taskbar;22000;;Hide search icon from the taskbar;Hiding the search icon from the taskbar...
Hide_Taskview_Taskbar;22000;;Hide the taskview button from the taskbar;Hiding the taskview button from the taskbar...
Show_Extensions_For_Known_File_Types;;;Show file extensions for known file types;Enabling showing of file extensions for known file types...
Show_Hidden_Folders;;;Show hidden files, folders and drives;Unhiding hidden files, folders and drives...
Show_Search_Box;22000;;Show search box on the taskbar;Changing taskbar search to search box...
Show_Search_Icon;22000;;Show search icon on the taskbar;Changing taskbar search to icon only...
Show_Search_Icon_And_Label;22000;;Show search icon with label on the taskbar;Changing taskbar search to icon with label...
Open_File_Explorer_to_This_PC;;;Open File Explorer to This PC instead of Home or Quick Access;Changing default launch location of File Explorer to This PC...
Turn_on_compact_view_in_File_Explorer_for_current_user;22000;;Enable compact view of items in File Explorer;Enabling compact view in File Explorer...
